Event	ID	Name			Wwise Object Path	Notes
	460999313	tut_welcome			\Default Work Unit\Tutorial\tut_welcome	
	820591094	tut_box			\Default Work Unit\Tutorial\tut_box	
	2011545223	tut_wunderbar			\Default Work Unit\Tutorial\tut_wunderbar	
	2540509267	tut_excellent			\Default Work Unit\Tutorial\tut_excellent	
	2697837388	tut_verygood			\Default Work Unit\Tutorial\tut_verygood	
	2782190353	tut_jumping			\Default Work Unit\Tutorial\tut_jumping	
	2972429206	tut_fantastic			\Default Work Unit\Tutorial\tut_fantastic	
	3399594875	tut_button			\Default Work Unit\Tutorial\tut_button	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	178026190	vox_pressthebutton	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_pressthebutton_86358A70.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Button\vox_pressthebutton		1620948
	273392855	vox_atleastwevemanagethisfar	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_atleastwevemanagethisfar_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\vox_atleastwevemanagethisfar		1029440
	334032189	vox_other_buttons	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_other_buttons_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Button\vox_other_buttons		828288
	460924396	vox_movement	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_movement_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\vox_movement		2033728
	465281435	vox_wunderbar	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_wunderbar_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\vox_wunderbar		459840
	532688737	vox_verygood	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_verygood_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\vox_verygood		1316096
	741918386	vox_justusethejumpbutton	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_justusethejumpbutton_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Jumping\vox_justusethejumpbutton		1134912
	832929707	vox_pickupthebox	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_pickupthebox_8E343844.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Box\vox_pickupthebox		1035612
	965733347	vox_fantastic	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_fantastic_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\vox_fantastic		1046784
	979784528	vox_nextjumping	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_nextjumping_82CCF04C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Jumping\vox_nextjumping		1367164
	983651542	vox_usestuff	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_usestuff_D3974DB5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Box\vox_usestuff		2267440
	1025589674	vox_testtechnology	C:\Users\1502419\Downloads\Still\Idea4Prototype\Idea4Prototype_WwiseProject\.cache\Windows\Voices\English(US)\vox_testtechnology_845F64AE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice\EinsteinMouse\Button\vox_testtechnology		757804

